provider,pincode,city,state,cod_delivery,prepaid_delivery,pickup,zone_group,zone_code
,411042,PUNE,MAHARASHTRA,Y,Y,N,,
,403002,Panjim,GOA,Y,Y,N,,
,127030,Badhara,HARYANA,Y,Y,N,,
,151201,Jaitu,PUNJAB,N,N,N,,
,127310,Badhara,HARYANA,Y,Y,N,,
,127308,Badhara,HARYANA,Y,Y,N,,
,151202,Jaitu,PUNJAB,Y,Y,Y,,
,151205,Jaitu,PUNJAB,N,N,N,,
,331002,Churu,RAJASTHAN,Y,Y,N,,
,249301,DEV PRAYAG,UTTARAKHAND,Y,Y,Y,,
,151208,Jaitu,PUNJAB,N,N,N,,
,604405,Tiruvannamalai,TAMIL NADU,N,N,N,,
,604505,Tiruvannamalai,TAMIL NADU,N,N,N,,
,504309,Adilabad,TELANGANA,Y,Y,N,,
,604408,Tiruvannamalai,TAMIL NADU,N,N,N,,
,604406,Tiruvannamalai,TAMIL NADU,N,N,N,,
,604404,Tiruvannamalai,TAMIL NADU,N,N,N,,
,604403,Tiruvannamalai,TAMIL NADU,N,N,N,,
,797111,Wokha,NAGALAND,Y,Y,Y,,
,382305,Jamnagar,GUJARAT,Y,Y,N,,
,328022,BARI RJ,RAJASTHAN,Y,Y,N,,
,312623,Arnod,RAJASTHAN,Y,Y,N,,
,250101,BAGHPAT,UTTAR PRADESH,Y,Y,Y,,
,250601,BAGHPAT,UTTAR PRADESH,Y,Y,Y,,
,209306,AKBARPUR KANPUR DEHAT,UTTAR PRADESH,Y,Y,N,,
,221404,Bhadohi,UTTAR PRADESH,Y,Y,N,,
,209302,AKBARPUR KANPUR DEHAT,UTTAR PRADESH,Y,Y,N,,
,143602,Fatehgarh Churiyan,PUNJAB,N,N,N,,
,281504,CHHATA,UTTAR PRADESH,Y,Y,Y,,
,191111,BUDGAM,JAMMU AND KASHMIR,Y,Y,N,,
,143601,Fatehgarh Churiyan,PUNJAB,Y,Y,Y,,
,281503,CHHATA,UTTAR PRADESH,Y,Y,Y,,
,501501,PARGI,TELANGANA,Y,Y,Y,,
,795132,Imphal,MANIPUR,Y,Y,Y,,
,795127,Kakching,MANIPUR,Y,Y,Y,,
,563160,BANGALORE,KARNATAKA,N,N,Y,,
,387120,Ahmedabad,GUJARAT,N,N,N,,
,495118,Pendra,CHHATTISGARH,Y,Y,Y,,
,532458,Srikakulam,ANDHRA PRADESH,Y,Y,N,,
,532459,Srikakulam,ANDHRA PRADESH,Y,Y,N,,
,532190,Srikakulam,ANDHRA PRADESH,Y,Y,Y,,
,574222,BC Road,KARNATAKA,N,N,N,,
,581196,Kalghatgi,KARNATAKA,Y,Y,N,,
,416116,Ichalkaranji,MAHARASHTRA,Y,Y,N,,
,303329,Jobner,RAJASTHAN,Y,Y,N,,
,230142,Madhavganj,UTTAR PRADESH,Y,Y,N,,
,202138,Khair UP,UTTAR PRADESH,Y,Y,Y,,
,193222,Kupwara,JAMMU AND KASHMIR,Y,Y,Y,,
,193224,Kupwara,JAMMU AND KASHMIR,Y,Y,Y,,
,192126,Anantnag,JAMMU AND KASHMIR,Y,Y,Y,,
,333516,Buhana,RAJASTHAN,Y,Y,N,,
,231208,Renukoot,UTTAR PRADESH,Y,Y,Y,,
,333504,Buhana,RAJASTHAN,Y,Y,N,,
,142038,Bagha Purana,PUNJAB,Y,Y,Y,,
,243637,Badayun,UTTAR PRADESH,Y,Y,N,,
,144411,PHAGWARA,PUNJAB,Y,Y,N,,
,144402,PHAGWARA,PUNJAB,Y,Y,N,,
,392230,BHAVNAGAR,GUJARAT,N,N,N,,
,824234,Gaya,BIHAR,N,N,Y,,
,403109,Goa,GOA,Y,Y,Y,,
,370140,Bhachau,GUJARAT,Y,Y,N,,
,400704,Navi Mumbai,MAHARASHTRA,Y,Y,N,,
,370141,Bhachau,GUJARAT,Y,Y,N,,
,403406,Goa,GOA,N,N,N,,
,422208,Peint,MAHARASHTRA,N,N,N,,
,403105,Goa,GOA,N,N,N,,
,281502,CHHATA,UTTAR PRADESH,Y,Y,Y,,
,303505,Nangal Rajawthan,RAJASTHAN,Y,Y,N,,
,182320,Katra,JAMMU AND KASHMIR,Y,Y,Y,,
,192401,Awantipur,JAMMU AND KASHMIR,Y,Y,Y,,
,209731,Chibramau,UTTAR PRADESH,Y,Y,Y,,
,322703,Chouth Ka Barwara,RAJASTHAN,Y,Y,N,,
,151207,Bagha Purana,PUNJAB,Y,Y,Y,,
,193401,Magam,JAMMU AND KASHMIR,Y,Y,Y,,
,276405,Azamgarh,UTTAR PRADESH,N,N,N,,
,192303,Pulwama,JAMMU AND KASHMIR,Y,Y,Y,,
,322701,Chouth Ka Barwara,RAJASTHAN,N,N,N,,
,322704,Chouth Ka Barwara,RAJASTHAN,Y,Y,N,,
,276403,Azamgarh,UTTAR PRADESH,N,N,N,,
,244411,BILLARI,UTTAR PRADESH,N,N,N,,
,182301,Katra,JAMMU AND KASHMIR,Y,Y,Y,,
,209303,AKBARPUR KANPUR DEHAT,UTTAR PRADESH,N,N,N,,
,281501,CHHATA,UTTAR PRADESH,Y,Y,Y,,
,209721,Chibramau,UTTAR PRADESH,Y,Y,Y,,
,193404,Magam,JAMMU AND KASHMIR,Y,Y,Y,,
,151102,Bhatinda,PUNJAB,Y,Y,Y,,
,244413,BILLARI,UTTAR PRADESH,N,N,N,,
,209728,Chibramau,UTTAR PRADESH,Y,Y,Y,,
,193402,Magam,JAMMU AND KASHMIR,Y,Y,Y,,
,695020,Trivandrum,KERALA,Y,Y,Y,,
,682510,Vypin,KERALA,N,N,N,,
,682501,Vypin,KERALA,Y,Y,Y,,
,682502,Vypin,KERALA,Y,Y,Y,,
,742136,KANDI,WEST BENGAL,N,N,N,,
,825106,Dhawatand,JHARKHAND,Y,Y,N,,
,742172,KANDI,WEST BENGAL,N,N,N,,
,759126,Angul,Odisha,Y,Y,Y,,
,854330,Purnia,BIHAR,Y,Y,Y,,
,759127,Angul,Odisha,N,N,N,,
,742137,KANDI,WEST BENGAL,N,N,N,,
,742161,KANDI,WEST BENGAL,N,N,N,,
,852125,SUPAUL,BIHAR,N,N,N,,
,852137,SUPAUL,BIHAR,Y,Y,Y,,
,742138,KANDI,WEST BENGAL,N,N,N,,
,766015,Jeypore,Odisha,N,N,N,,
,759015,DHENKANAL,Odisha,N,N,N,,
,768202,Jharsuguda,Odisha,Y,Y,Y,,
,742301,KANDI,WEST BENGAL,N,N,N,,
,854327,Purnia,BIHAR,N,N,N,,
